date_0,date_1,pos_0,pos_1,reason_0,reason_1,price_0,price_1,wallet_0,wallet_1,lag_1,lag_2,lag_3,lag_4,lag_5
2023-03-06 20:57:00,2023-03-09 16:48:00,Buy,Sell,Buy Strtgy BB_01,STOP LOSS BB_01,1561.24,1526.65,999.3000000000001,976.4760306285389,1562.6,1563.21,1564.49,1564.35,1564.78
2023-03-25 18:30:00,2023-04-04 11:06:00,Buy,Sell,Buy Strtgy BB_01,Take Profit BB_01,1741.08,1869.58,975.792497407099,1047.083179772354,1744.82,1745.59,1744.74,1745.89,1744.33
2023-04-13 02:03:00,2023-04-14 00:36:00,Buy,Sell,Buy Strtgy BB_01,Take Profit BB_01,1900.22,2091.19,1046.3502215465132,1150.7072575199563,1903.61,1905.63,1906.49,1907.0,1905.44
2023-03-06 20:57:00,2023-03-09 16:48:00,Buy,Sell,Buy Strtgy BB_01,STOP LOSS BB_01,1561.24,1526.65,999.3000000000001,976.4760306285389,1562.6,1563.21,1564.49,1564.35,1564.78
2023-03-25 18:30:00,2023-04-05 12:48:00,Buy,Sell,Buy Strtgy BB_01,Take Profit BB_01,1741.08,1926.22,975.792497407099,1078.8051661555558,1744.82,1745.59,1744.74,1745.89,1744.33
2023-04-13 02:03:00,2023-04-16 18:57:00,Buy,Sell,Buy Strtgy BB_01,Take Profit BB_01,1900.22,2128.25,1078.0500025392469,1206.5792022784951,1903.61,1905.63,1906.49,1907.0,1905.44
2023-03-06 20:57:00,2023-03-09 16:48:00,Buy,Sell,Buy Strtgy BB_01,STOP LOSS BB_01,1561.24,1526.65,999.3000000000001,976.4760306285389,1562.6,1563.21,1564.49,1564.35,1564.78
2023-03-25 18:30:00,2023-04-04 11:06:00,Buy,Sell,Buy Strtgy BB_01,Take Profit BB_01,1741.08,1869.58,975.792497407099,1047.083179772354,1744.82,1745.59,1744.74,1745.89,1744.33
2023-04-13 02:03:00,2023-04-14 00:36:00,Buy,Sell,Buy Strtgy BB_01,Take Profit BB_01,1900.22,2091.19,1046.3502215465132,1150.7072575199563,1903.61,1905.63,1906.49,1907.0,1905.44
2023-03-06 20:57:00,2023-03-09 16:48:00,Buy,Sell,Buy Strtgy BB_01,STOP LOSS BB_01,1561.24,1526.65,999.3000000000001,976.4760306285389,1562.6,1563.21,1564.49,1564.35,1564.78
2023-03-25 18:30:00,2023-04-05 12:48:00,Buy,Sell,Buy Strtgy BB_01,Take Profit BB_01,1741.08,1926.22,975.792497407099,1078.8051661555558,1744.82,1745.59,1744.74,1745.89,1744.33
2023-04-13 02:03:00,2023-04-16 18:57:00,Buy,Sell,Buy Strtgy BB_01,Take Profit BB_01,1900.22,2128.25,1078.0500025392469,1206.5792022784951,1903.61,1905.63,1906.49,1907.0,1905.44
2023-03-06 20:57:00,2023-03-09 16:48:00,Buy,Sell,Buy Strtgy BB_01,STOP LOSS BB_01,1561.24,1526.65,999.3000000000001,976.4760306285389,1562.6,1563.21,1564.49,1564.35,1564.78
2023-03-25 18:30:00,2023-04-04 11:06:00,Buy,Sell,Buy Strtgy BB_01,Take Profit BB_01,1741.08,1869.58,975.792497407099,1047.083179772354,1744.82,1745.59,1744.74,1745.89,1744.33
2023-04-13 02:03:00,2023-04-14 00:36:00,Buy,Sell,Buy Strtgy BB_01,Take Profit BB_01,1900.22,2091.19,1046.3502215465132,1150.7072575199563,1903.61,1905.63,1906.49,1907.0,1905.44
2023-03-06 20:57:00,2023-03-09 16:48:00,Buy,Sell,Buy Strtgy BB_01,STOP LOSS BB_01,1561.24,1526.65,999.3000000000001,976.4760306285389,1562.6,1563.21,1564.49,1564.35,1564.78
2023-03-25 18:30:00,2023-04-05 12:48:00,Buy,Sell,Buy Strtgy BB_01,Take Profit BB_01,1741.08,1926.22,975.792497407099,1078.8051661555558,1744.82,1745.59,1744.74,1745.89,1744.33
2023-04-13 02:03:00,2023-04-16 18:57:00,Buy,Sell,Buy Strtgy BB_01,Take Profit BB_01,1900.22,2128.25,1078.0500025392469,1206.5792022784951,1903.61,1905.63,1906.49,1907.0,1905.44
2023-03-06 20:57:00,2023-03-09 16:48:00,Buy,Sell,Buy Strtgy BB_01,STOP LOSS BB_01,1561.24,1526.65,999.3000000000001,976.4760306285389,1562.6,1563.21,1564.49,1564.35,1564.78
2023-03-25 18:30:00,2023-04-04 11:06:00,Buy,Sell,Buy Strtgy BB_01,Take Profit BB_01,1741.08,1869.58,975.792497407099,1047.083179772354,1744.82,1745.59,1744.74,1745.89,1744.33
2023-04-13 02:03:00,2023-04-14 00:36:00,Buy,Sell,Buy Strtgy BB_01,Take Profit BB_01,1900.22,2091.19,1046.3502215465132,1150.7072575199563,1903.61,1905.63,1906.49,1907.0,1905.44
2023-03-06 20:57:00,2023-03-09 16:48:00,Buy,Sell,Buy Strtgy BB_01,STOP LOSS BB_01,1561.24,1526.65,999.3000000000001,976.4760306285389,1562.6,1563.21,1564.49,1564.35,1564.78
2023-03-25 18:30:00,2023-04-05 12:48:00,Buy,Sell,Buy Strtgy BB_01,Take Profit BB_01,1741.08,1926.22,975.792497407099,1078.8051661555558,1744.82,1745.59,1744.74,1745.89,1744.33
2023-04-13 02:03:00,2023-04-16 18:57:00,Buy,Sell,Buy Strtgy BB_01,Take Profit BB_01,1900.22,2128.25,1078.0500025392469,1206.5792022784951,1903.61,1905.63,1906.49,1907.0,1905.44
